"","X","Y","TP","TN","NTU","Sample","Flow"
"1285",13680.4895833333,1,0.28,1.6,496,"A",464.58
"1287",13680.6145833333,1,0.34,1.6,548,"A",491.85
"1288",13680.9583333333,1,NA,1.4,235,"A",409.05
"1289",13681.0208333333,1,0.2,1.8,221,"A",372.15
"1290",13681.1458333333,1,0.2,2,335,"A",299.32
"1291",13681.1666666667,1,NA,0.2,274,"C",289.76
"1292",13681.2708333333,1,0.19,1.8,220,"A",246.45
"1293",13681.3958333333,1,0.12,1.6,223,"A",203.63
"1294",13681.5208333333,1,0.09,1.6,165,"A",171.47
"1295",13681.6458333333,1,0.1,1.4,139,"A",148.74
"1296",13681.7708333333,1,0.11,1.6,102,"A",131.21
"1297",13681.8958333333,1,0.08,1.4,71.5,"A",116.47
"1298",13682.0208333333,1,0.07,1.2,79.7,"A",105.62
"1299",13682.1458333333,1,0.07,1.3,74.9,"A",95.46
"1301",13683.0625,1,NA,2.1,132,"C",61.66
"1302",13683.7291666667,1,0.08,1,43.8,"A",66.05
"1303",13683.8541666667,1,NA,NA,45.1,"A",77.9
"1304",13683.9791666667,1,0.05,1.1,60.8,"A",143.46
"1305",13684.1041666667,1,0.07,1.2,44.4,"A",205.63
"1306",13684.1458333333,1,NA,0.9,45.9,"C",253.15
"1307",13684.2291666667,1,0.13,1.5,53.6,"A",336.62
"1308",13684.3541666667,1,0.12,1.4,191,"A",359.38
"1309",13684.4791666667,1,NA,NA,133,"A",345.32
"1311",13684.6041666667,1,NA,NA,251,"A",324.14
"1312",13684.7291666667,1,0.25,2,226,"A",307.76
"1313",13684.8541666667,1,0.1,1.2,183,"A",291.21
"1314",13684.9166666667,1,NA,1.2,170,"C",269.92
"1315",13684.9791666667,1,0.12,1.3,104,"A",244.51
"1316",13685.1041666667,1,0.11,1.1,97.9,"A",200.61
"1317",13690.90625,1,0.1,1.1,75.5,"A",183.07
"1318",13690.9375,1,NA,1.4,156,"S",214.85
"1319",13691.03125,1,0.12,1.1,121,"A",312.38
"1322",13691.28125,1,0.31,1.4,289,"A",256.13
"1323",13691.40625,1,0.44,1.6,433,"A",230.99
"1324",13691.53125,1,0.45,1.6,515,"A",223.79
"1325",13691.65625,1,0.39,1.3,470,"A",228.93
"1326",13691.78125,1,0.23,1.2,355,"A",230.12
"1327",13691.90625,1,0.24,1.3,240,"A",221.42
"1328",13692.03125,1,0.15,1.9,195,"A",206.96
"1329",13692.15625,1,0.23,1.1,236,"A",191.23
"1330",13692.5833333333,1,0.05,1.1,106,"S",147.55
"1332",13704.5833333333,1,0.05,1.2,NA,"R",74.61
"1333",13732.03125,1,0.01,0.6,8.42,"R",7.14
"1334",13758.5833333333,1,0.02,0.5,8.77,"R",5.09
